City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,cidreira,-30.1811,-50.2056,23.36,75,57,4.75,BR,1675551269
1,dindori,22.95,81.0833,12.59,26,6,0.58,IN,1675551270
2,tilichiki,60.4667,166.1,-26.38,96,40,3.71,RU,1675551272
3,taonan,45.3333,122.7833,-17.18,92,31,1.87,CN,1675551272
4,hofn,64.2539,-15.2082,0.39,63,62,3.42,IS,1675551273
5,longyearbyen,78.2186,15.6401,-9.09,62,0,10.8,SJ,1675551273
6,pevek,69.7008,170.3133,-37.31,100,94,0.65,RU,1675551274
7,teguldet,57.3064,88.1667,-23.57,100,100,0.11,RU,1675551274
8,saint-philippe,-21.3585,55.7679,25.77,86,99,4.62,RE,1675551234
9,rawson,-43.3002,-65.1023,30.55,25,17,10.97,AR,1675550989
10,harper,4.375,-7.7169,26.05,85,10,3.06,LR,1675551275
11,vaini,-21.2,-175.2,27.09,94,75,8.23,TO,1675551275
12,albany,42.6001,-73.9662,-10.99,46,70,2.11,US,1675551276
13,punta arenas,-53.15,-70.9167,11.06,93,100,4.12,CL,1675550979
14,alexandria,31.2156,29.9553,10.3,60,40,6.84,EG,1675551196
15,ketchikan,55.3422,-131.6461,8.26,87,100,10.29,US,1675551238
16,georgetown,5.4112,100.3354,25.96,88,20,4.12,MY,1675551163
17,shingu,33.7333,135.9833,3.61,66,10,2.63,JP,1675551277
18,isangel,-19.55,169.2667,28.62,82,66,7.0,VU,1675551052
19,namie,37.4833,141.0,0.3,77,1,5.8,JP,1675551278
20,ribeira grande,38.5167,-28.7,16.54,91,26,4.92,PT,1675551278
21,zhigansk,66.7697,123.3711,-41.98,96,46,4.79,RU,1675551279
22,ouargaye,11.5033,0.0572,28.34,15,17,3.29,BF,1675551279
23,griffith,41.5284,-87.4237,5.96,61,0,7.72,US,1675551280
24,sakaiminato,35.55,133.2333,0.99,93,75,0.51,JP,1675551280
25,jamestown,42.097,-79.2353,-3.23,33,0,6.17,US,1675551017
26,balezino,57.9796,53.0106,-9.72,97,100,0.89,RU,1675551281
27,hithadhoo,-0.6,73.0833,27.52,71,83,6.97,MV,1675551281
28,monroe,43.1501,-77.6831,-4.29,53,75,4.63,US,1675551080
29,bluff,-46.6,168.3333,16.92,90,100,6.25,NZ,1675551282
30,ploemeur,47.7333,-3.4333,8.23,80,100,2.06,FR,1675551282
31,cape town,-33.9258,18.4232,21.23,90,75,2.57,ZA,1675550983
32,mataura,-46.1927,168.8643,21.42,75,100,1.12,NZ,1675551283
33,lebu,-37.6167,-73.65,16.34,89,59,1.37,CL,1675551283
34,pisco,-13.7,-76.2167,24.03,88,0,3.09,PE,1675551284
35,nsanje,-16.92,35.262,23.49,85,75,0.74,MW,1675551284
36,saint anthony,45.0205,-93.218,-1.5,68,100,3.6,US,1675551285
37,hermanus,-34.4187,19.2345,21.56,92,24,3.05,ZA,1675551270
38,barrow,71.2906,-156.7887,-30.99,76,20,4.63,US,1675551225
39,atuona,-9.8,-139.0333,25.93,74,30,7.73,PF,1675551286
40,kawalu,-7.3817,108.2082,21.86,89,97,0.94,ID,1675551286
41,ushuaia,-54.8,-68.3,11.81,62,75,5.14,AR,1675551287
42,baykit,61.67,96.37,-15.8,99,99,0.97,RU,1675551287
43,saint austell,50.3383,-4.7658,9.13,100,100,2.57,GB,1675551287
44,meulaboh,4.1363,96.1285,23.76,87,98,1.62,ID,1675551286
45,yerbogachen,61.2767,108.0108,-28.41,100,94,1.15,RU,1675551288
46,port alfred,-33.5906,26.891,23.43,89,100,1.34,ZA,1675551289
47,east london,-33.0153,27.9116,23.5,82,100,4.87,ZA,1675551218
48,hobyo,5.3505,48.5268,23.61,74,58,6.79,SO,1675551289
49,wum,6.3833,10.0667,22.82,30,93,1.37,CM,1675551290
50,castro,-24.7911,-50.0119,17.45,94,84,2.03,BR,1675551219
51,norman wells,65.282,-126.8329,-25.98,64,75,2.06,CA,1675551276
52,busselton,-33.65,115.3333,24.07,40,77,2.6,AU,1675551290
53,maltahohe,-24.8333,16.9833,26.19,24,94,8.13,NA,1675551249
54,sola,-13.8833,167.55,27.03,84,100,14.26,VU,1675551289
55,bambous virieux,-20.3428,57.7575,26.14,89,75,3.09,MU,1675551291
56,phillaur,31.0292,75.7842,10.62,69,0,2.92,IN,1675551292
57,tasiilaq,65.6145,-37.6368,-3.91,88,100,11.47,GL,1675551292
58,saldanha,-33.0117,17.9442,19.03,96,93,6.45,ZA,1675551215
59,port blair,11.6667,92.75,26.02,89,40,1.03,IN,1675551099
60,grindavik,63.8424,-22.4338,1.26,100,100,6.69,IS,1675551150
61,qaanaaq,77.484,-69.3632,-19.67,60,70,2.05,GL,1675551293
62,kashan,33.9831,51.4364,5.15,38,0,1.48,IR,1675551294
63,faanui,-16.4833,-151.75,27.54,73,56,7.8,PF,1675551037
64,glendive,47.1053,-104.7125,8.79,49,0,8.23,US,1675551295
65,saskylakh,71.9167,114.0833,-34.93,98,90,1.43,RU,1675551257
66,gejiu,23.306,103.1635,7.31,95,61,1.94,CN,1675551295
67,soubre,5.7856,-6.6083,24.0,91,66,2.1,CI,1675551296
68,liverpool,53.4106,-2.9779,6.91,82,20,3.6,GB,1675551296
69,mountain home,43.133,-115.6912,7.71,42,0,7.72,US,1675551297
70,bredasdorp,-34.5322,20.0403,20.02,89,0,3.44,ZA,1675551297
71,arraial do cabo,-22.9661,-42.0278,25.55,87,25,5.86,BR,1675551298
72,norden,53.6,7.2,3.3,84,82,5.5,DE,1675551298
73,chekhov,55.1431,37.4711,-0.06,99,100,0.15,RU,1675551299
74,bangkalan,-7.0455,112.7351,24.97,87,100,3.27,ID,1675551299
75,maiduguri,11.8464,13.1603,23.12,17,99,3.65,NG,1675551300
76,bilibino,68.0546,166.4372,-37.03,98,15,1.95,RU,1675551300
77,udachnyy,66.4167,112.4,-40.31,72,78,0.07,RU,1675551300
78,santiago,-33.4569,-70.6483,29.69,40,0,8.23,CL,1675551141
79,yakeshi,49.2833,120.7333,-33.11,100,99,0.71,CN,1675551301
80,cabo san lucas,22.8909,-109.9124,26.45,49,22,0.89,MX,1675551302
81,dengzhou,37.8086,120.7508,0.9,56,0,3.95,CN,1675551303
82,hami,42.8,93.45,-1.03,37,100,2.19,CN,1675551231
83,boa vista,2.8197,-60.6733,28.99,61,40,1.54,BR,1675551015
84,upernavik,72.7868,-56.1549,-21.42,97,100,1.39,GL,1675551072
85,severiano melo,-5.7772,-37.9578,26.91,67,43,5.35,BR,1675551128
86,port hueneme,34.1478,-119.1951,23.77,58,0,5.14,US,1675551304
87,ancud,-41.8697,-73.8203,19.08,74,45,1.31,CL,1675551200
88,kodiak,57.79,-152.4072,0.73,75,0,0.0,US,1675551305
89,victoria,22.2855,114.1577,18.3,86,100,4.02,HK,1675551034
90,nyurba,63.2842,118.3319,-47.54,100,100,0.82,RU,1675551306
91,conceicao do araguaia,-8.2578,-49.2647,24.37,87,98,1.01,BR,1675551306
92,dikson,73.5069,80.5464,-19.39,97,100,1.34,RU,1675551116
93,hobart,-42.8794,147.3294,19.47,57,20,3.09,AU,1675551307
94,bengkulu,-3.8004,102.2655,23.34,89,100,2.21,ID,1675551308
95,puerto ayora,-0.7393,-90.3518,29.98,89,58,3.13,EC,1675551308
96,avarua,-21.2078,-159.775,29.03,79,75,6.17,CK,1675551309
97,kaitangata,-46.2817,169.8464,23.38,62,100,1.5,NZ,1675551309
98,kapaa,22.0752,-159.319,23.18,89,100,7.72,US,1675551152
99,severo-kurilsk,50.6789,156.125,-2.6,72,100,2.62,RU,1675551239
100,rikitea,-23.1203,-134.9692,26.2,74,2,5.8,PF,1675551215
101,geraldton,-28.7667,114.6,22.23,88,75,2.57,AU,1675551310
102,new norfolk,-42.7826,147.0587,19.28,56,10,0.89,AU,1675551172
103,ust-charyshskaya pristan,52.3934,83.6635,-12.73,98,100,2.22,RU,1675551311
104,zhezkazgan,47.8043,67.7144,-9.68,96,100,2.1,KZ,1675551311
105,korla,41.7597,86.1469,-3.7,70,79,0.41,CN,1675551312
106,hammerfest,70.6634,23.6821,-0.75,86,75,2.57,NO,1675551313
107,tiksi,71.6872,128.8694,-28.81,100,100,1.22,RU,1675551225
108,port elizabeth,-33.918,25.5701,27.16,47,0,7.2,ZA,1675551313
109,alofi,-19.0595,-169.9187,27.94,18,100,5.14,NU,1675551167
110,saint-joseph,-21.3667,55.6167,25.21,84,98,4.61,RE,1675551314
111,newport,51.5877,-2.9984,9.34,93,99,1.9,GB,1675551191
112,kavaratti,10.5669,72.642,27.25,68,52,1.97,IN,1675551315
113,konyshevka,51.8418,35.2941,-3.65,96,100,2.51,RU,1675551316
114,kjollefjord,70.9457,27.3465,-2.97,80,75,4.12,NO,1675551316
115,lagoa,39.05,-27.9833,15.04,88,4,8.19,PT,1675551113
116,wanaka,-44.7,169.15,21.73,76,100,0.45,NZ,1675551317
117,turka,49.1541,23.0297,-6.78,95,100,4.1,UA,1675551317
118,north bend,43.4065,-124.2243,13.37,82,75,3.6,US,1675551318
119,necochea,-38.5473,-58.7368,17.73,65,0,4.73,AR,1675551318
120,pasighat,28.0667,95.3333,16.31,35,76,1.06,IN,1675551319
121,buala,-8.145,159.5921,27.24,83,100,2.63,SB,1675551320
122,yellowknife,62.456,-114.3525,-26.36,69,75,1.54,CA,1675551104
123,maraa,-1.8333,-65.3667,23.0,99,99,1.42,BR,1675551321
124,vila franca do campo,37.7167,-25.4333,14.23,84,2,3.25,PT,1675551321
125,koslan,63.4564,48.8989,-15.44,99,99,0.98,RU,1675551322
126,muros,42.7762,-9.0603,8.24,85,1,4.34,ES,1675551322
